%Alt(km) AK(SZA=45°) AK(SZA=80°)
 0.000 0.000 0.000
 2.990 0.000 0.000
 3.000 1.042 0.791
 3.125 1.041 0.800
 3.375 1.039 0.816
 3.625 1.036 0.833
 3.875 1.033 0.850
 4.125 1.030 0.867
 4.375 1.027 0.884
 4.625 1.023 0.901
 4.875 1.019 0.918
 5.500 1.009 0.963
 6.500 0.991 1.037
 7.500 0.971 1.114
 8.500 0.951 1.187
 9.500 0.932 1.253
10.500 0.914 1.310
11.500 0.897 1.364
12.500 0.881 1.407
13.500 0.866 1.443
14.500 0.852 1.472
15.500 0.838 1.495
16.500 0.825 1.514
17.500 0.814 1.530
18.500 0.803 1.541
19.500 0.793 1.547
20.500 0.785 1.551
21.500 0.777 1.553
22.500 0.770 1.553
23.500 0.764 1.551
24.500 0.758 1.548
25.500 0.753 1.545
26.500 0.749 1.542
27.500 0.745 1.537
28.500 0.742 1.532
29.500 0.739 1.526
31.500 0.735 1.515
34.500 0.730 1.498
37.500 0.727 1.481
