Site,ID, Lat,Lon,Elev,Species,JanMean,FebMean,MarMean,AprMean,MayMean,JunMean,JulMean,AugMean,SepMean,OctMean,NovMean,DecMean,JanStd,FebStd,MarStd,AprStd,MayStd,JunStd,JulyStd,AugStd,SepStd,OctStd,NovStd,DecStd
      Acadia NP,ACAD1, NH4f,     44.38,    -68.26,    157.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
      Acadia NP,ACAD1,  ECf,     44.38,    -68.26,    157.00,      0.20,      0.17,      0.17,      0.13,      0.12,      0.42,      0.26,      0.25,      0.21,      0.16,      0.24,      0.25,      0.11,      0.10,      0.07,      0.06,      0.07,      0.34,      0.16,      0.13,      0.13,      0.17,      0.18,      0.27,
      Acadia NP,ACAD1,  OCf,     44.38,    -68.26,    157.00,      0.69,      0.70,      0.64,      0.48,      0.37,      2.15,      1.14,      1.20,      0.97,      0.56,      0.81,      0.86,      0.24,      0.35,      0.30,      0.21,      0.24,      2.92,      0.74,      0.69,      0.43,      0.57,      0.49,      0.78,
      Acadia NP,ACAD1, NO3f,     44.38,    -68.26,    157.00,      0.39,      0.27,      0.22,      0.24,      0.11,      0.29,      0.12,      0.13,      0.14,      0.18,      0.34,      0.36,      0.31,      0.13,      0.19,      0.17,      0.08,      0.19,      0.14,      0.07,      0.12,      0.18,      0.31,      0.39,
      Acadia NP,ACAD1, SO4f,     44.38,    -68.26,    157.00,      1.56,      1.39,      1.44,      1.31,      0.93,      2.76,      2.87,      2.34,      1.44,      1.45,      1.49,      1.61,      1.22,      0.68,      0.98,      0.36,      0.59,      2.33,      4.68,      2.06,      1.30,      1.87,      1.14,      1.83,
Addison Pinnacl,ADPI1, NH4f,     42.09,    -77.21,    512.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
Addison Pinnacl,ADPI1,  ECf,     42.09,    -77.21,    512.00,      0.31,      0.37,      0.31,      0.34,      0.29,      0.48,      0.65,      0.42,      0.38,      0.37,      0.47,      0.37,      0.15,      0.23,      0.15,      0.22,      0.14,      0.20,      0.54,      0.12,      0.12,      0.26,      0.22,      0.20,
Addison Pinnacl,ADPI1,  OCf,     42.09,    -77.21,    512.00,      1.14,      1.13,      0.96,      1.00,      0.80,      1.65,      1.64,      1.28,      1.13,      0.93,      1.46,      1.11,      0.52,      0.69,      0.53,      0.79,      0.41,      0.89,      0.47,      0.47,      0.36,      0.70,      0.71,      0.68,
Addison Pinnacl,ADPI1, NO3f,     42.09,    -77.21,    512.00,      1.16,      1.46,      2.12,      0.42,      0.54,      0.21,      0.14,      0.15,      0.20,      0.33,      1.11,      1.42,      0.54,      1.18,      1.60,      0.24,      0.47,      0.15,      0.06,      0.09,      0.10,      0.26,      1.06,      1.27,
Addison Pinnacl,ADPI1, SO4f,     42.09,    -77.21,    512.00,      2.22,      2.41,      2.70,      2.27,      2.30,      8.16,      7.64,      6.81,      5.76,      2.51,      2.60,      2.43,      0.99,      1.18,      1.50,      1.62,      1.04,      4.62,      6.05,      4.32,      5.08,      2.86,      1.14,      1.15,
     Agua Tibia,AGTI1, NH4f,     33.46,   -116.97,    507.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
     Agua Tibia,AGTI1,  ECf,     33.46,   -116.97,    507.00,      0.25,      0.24,      0.35,      0.26,      0.45,      0.46,      0.61,      0.56,      0.43,      0.53,      0.47,      0.45,      0.29,      0.17,      0.23,      0.24,      0.26,      0.23,      0.19,      0.18,      0.18,      0.40,      0.22,      0.28,
     Agua Tibia,AGTI1,  OCf,     33.46,   -116.97,    507.00,      0.56,      0.50,      0.91,      0.71,      1.24,      1.31,      1.94,      1.41,      1.51,      1.51,      1.09,      0.97,      0.53,      0.31,      0.44,      0.60,      0.51,      0.53,      0.49,      0.37,      0.52,      0.87,      0.50,      0.61,
     Agua Tibia,AGTI1, NO3f,     33.46,   -116.97,    507.00,      0.51,      0.77,      1.24,      0.85,      1.39,      1.75,      0.98,      0.62,      1.01,      1.46,      0.91,      1.47,      0.77,      0.82,      0.77,      0.62,      0.90,      0.75,      0.59,      0.47,      0.70,      2.56,      0.89,      1.85,
     Agua Tibia,AGTI1, SO4f,     33.46,   -116.97,    507.00,      0.52,      0.71,      1.11,      1.57,      2.27,      2.09,      3.86,      3.86,      2.11,      1.49,      1.11,      0.71,      0.71,      0.73,      0.50,      0.76,      1.29,      0.73,      1.32,      0.87,      0.90,      0.53,      0.88,      0.62,
         Ambler,AMBL1, NH4f,     77.00,      7.00,      8.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
         Ambler,AMBL1,  ECf,     77.00,      7.00,      8.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
         Ambler,AMBL1,  OCf,     77.00,      7.00,      8.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
         Ambler,AMBL1, NO3f,     77.00,      7.00,      8.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
         Ambler,AMBL1, SO4f,     77.00,      7.00,      8.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
      Arches NP,ARCH1, NH4f,     38.78,   -109.58,   1722.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
      Arches NP,ARCH1,  ECf,     38.78,   -109.58,   1722.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
      Arches NP,ARCH1,  OCf,     38.78,   -109.58,   1722.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
      Arches NP,ARCH1, NO3f,     38.78,   -109.58,   1722.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
      Arches NP,ARCH1, SO4f,     38.78,   -109.58,   1722.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
   Arendtsville,AREN1, NH4f,     39.92,    -77.31,    267.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
   Arendtsville,AREN1,  ECf,     39.92,    -77.31,    267.00,      0.64,      0.69,      0.54,      0.50,      0.49,      0.60,      0.64,      0.64,      0.52,      0.43,      0.80,      0.59,      0.28,      0.40,      0.32,      0.34,      0.17,      0.21,      0.23,      0.20,      0.17,      0.21,      0.48,      0.33,
   Arendtsville,AREN1,  OCf,     39.92,    -77.31,    267.00,      1.98,      1.71,      1.33,      1.26,      1.16,      2.18,      2.16,      2.16,      1.57,      0.87,      2.37,      1.57,      0.87,      1.05,      0.64,      0.94,      0.39,      1.17,      0.78,      0.70,      0.57,      0.48,      1.39,      0.94,
   Arendtsville,AREN1, NO3f,     39.92,    -77.31,    267.00,      2.64,      4.56,      4.46,      1.90,      1.38,      0.65,      0.43,      0.74,      0.50,      0.64,      2.75,      2.09,      1.42,      3.71,      3.91,      1.98,      1.24,      0.37,      0.51,      0.70,      0.43,      0.80,      2.36,      1.62,
   Arendtsville,AREN1, SO4f,     39.92,    -77.31,    267.00,      3.09,      3.61,      3.95,      3.65,      4.32,      7.11,      9.63,     10.37,      6.61,      2.93,      3.09,      3.10,      1.28,      1.74,      2.19,      2.97,      2.37,      3.48,      5.03,      4.51,      3.59,      2.58,      1.39,      0.94,
        Atlanta,ATLA1, NH4f,    243.00,      4.00,      4.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
        Atlanta,ATLA1,  ECf,    243.00,      4.00,      4.00,      2.00,      1.08,      1.02,      1.59,      1.83,      1.45,      1.68,      1.50,      2.24,   -999.00,   -999.00,   -999.00,      1.05,      0.39,      0.67,      1.20,      0.87,      0.83,      1.03,      0.74,      1.60,   -999.00,   -999.00,   -999.00,
        Atlanta,ATLA1,  OCf,    243.00,      4.00,      4.00,      3.98,      2.72,      2.19,      2.92,      2.89,      2.64,      2.73,      2.27,      3.31,   -999.00,   -999.00,   -999.00,      1.44,      0.60,      1.56,      1.09,      1.47,      1.00,      1.21,      1.24,      1.25,   -999.00,   -999.00,   -999.00,
        Atlanta,ATLA1, NO3f,    243.00,      4.00,      4.00,      1.59,      1.55,      0.76,      0.42,      0.45,      0.36,      0.27,      0.31,      0.34,   -999.00,   -999.00,   -999.00,      1.10,      0.48,      0.26,      0.14,      0.15,      0.21,      0.08,      0.11,      0.08,   -999.00,   -999.00,   -999.00,
        Atlanta,ATLA1, SO4f,    243.00,      4.00,      4.00,      2.88,      2.99,      3.46,      2.47,      7.09,      6.77,      7.96,      7.32,      7.05,   -999.00,   -999.00,   -999.00,      1.43,      1.95,      1.48,      1.13,      2.99,      4.21,      6.75,      3.29,      3.16,   -999.00,   -999.00,   -999.00,
