Alt(km) AK1 AK2 AK3 AK4
 0.025 0.183 0.084 1.051 0.672
 0.075 0.195 0.091 1.052 0.675
 0.150 0.212 0.102 1.052 0.678
 0.250 0.234 0.116 1.053 0.682
 0.350 0.255 0.129 1.054 0.687
 0.450 0.275 0.143 1.054 0.691
 0.550 0.295 0.156 1.055 0.695
 0.650 0.315 0.169 1.055 0.699
 0.750 0.333 0.182 1.056 0.703
 0.850 0.352 0.195 1.056 0.708
 0.950 0.370 0.208 1.056 0.712
 1.050 0.387 0.221 1.056 0.716
 1.150 0.405 0.234 1.056 0.720
 1.250 0.421 0.247 1.056 0.725
 1.350 0.438 0.260 1.056 0.729
 1.450 0.455 0.273 1.055 0.733
 1.550 0.471 0.286 1.055 0.738
 1.650 0.487 0.300 1.055 0.742
 1.750 0.502 0.313 1.054 0.747
 1.850 0.518 0.326 1.054 0.751
 1.950 0.533 0.340 1.053 0.756
 2.125 0.559 0.364 1.052 0.764
 2.375 0.596 0.399 1.051 0.776
 2.625 0.631 0.434 1.049 0.789
 2.875 0.665 0.471 1.046 0.802
 3.125 0.698 0.508 1.044 0.815
 3.375 0.731 0.546 1.041 0.829
 3.625 0.762 0.585 1.038 0.843
 3.875 0.792 0.626 1.035 0.858
 4.125 0.821 0.667 1.032 0.873
 4.375 0.849 0.709 1.028 0.889
 4.625 0.876 0.751 1.024 0.905
 4.875 0.901 0.795 1.020 0.921
 5.500 0.959 0.906 1.009 0.964
 6.500 1.041 1.094 0.991 1.036
 7.500 1.105 1.284 0.971 1.110
 8.500 1.153 1.469 0.950 1.182
 9.500 1.186 1.636 0.931 1.247
10.500 1.208 1.782 0.913 1.303
11.500 1.222 1.917 0.896 1.356
12.500 1.230 2.033 0.880 1.399
13.500 1.234 2.132 0.864 1.434
14.500 1.234 2.215 0.850 1.463
15.500 1.231 2.285 0.836 1.486
16.500 1.226 2.345 0.824 1.505
17.500 1.220 2.394 0.812 1.520
18.500 1.213 2.433 0.801 1.530
19.500 1.206 2.463 0.792 1.537
20.500 1.199 2.485 0.783 1.541
21.500 1.192 2.501 0.775 1.542
22.500 1.185 2.512 0.768 1.542
23.500 1.179 2.520 0.762 1.540
24.500 1.174 2.524 0.756 1.537
25.500 1.168 2.526 0.751 1.534
26.500 1.164 2.527 0.747 1.531
27.500 1.160 2.524 0.743 1.526
28.500 1.156 2.520 0.740 1.521
29.500 1.153 2.515 0.737 1.515
31.500 1.148 2.502 0.733 1.504
34.500 1.142 2.481 0.728 1.487
37.500 1.138 2.455 0.725 1.470
