%Alt(km) AK(SZA=45°) AK(SZA=80°)
 0.000 0.000 0.000
 1.990 0.000 0.000
 2.000 1.049 0.744
 2.125 1.048 0.751
 2.375 1.047 0.765
 2.625 1.046 0.780
 2.875 1.044 0.794
 3.125 1.042 0.809
 3.375 1.040 0.823
 3.625 1.037 0.839
 3.875 1.034 0.854
 4.125 1.031 0.870
 4.375 1.027 0.886
 4.625 1.023 0.903
 4.875 1.020 0.920
 5.500 1.009 0.963
 6.500 0.991 1.037
 7.500 0.971 1.112
 8.500 0.951 1.185
 9.500 0.932 1.251
10.500 0.914 1.307
11.500 0.897 1.361
12.500 0.881 1.404
13.500 0.866 1.439
14.500 0.851 1.468
15.500 0.838 1.491
16.500 0.825 1.511
17.500 0.813 1.526
18.500 0.803 1.536
19.500 0.793 1.543
20.500 0.784 1.547
21.500 0.776 1.549
22.500 0.769 1.548
23.500 0.763 1.547
24.500 0.758 1.544
25.500 0.753 1.541
26.500 0.749 1.537
27.500 0.745 1.533
28.500 0.742 1.527
29.500 0.739 1.522
31.500 0.735 1.511
34.500 0.730 1.494
37.500 0.727 1.476
