Site ID, Network, Latitude, Longitude, JanMean, FebMean, MarMean, AprMean, MayMean, JunMean, JulMean, AugMean, SepMean, OctMean, NovMean, DecMean, JanStd, FebStd, MarStd, AprStd, MayStd, JunStd, JulStd, AugStd, SepStd, OctStd, NovStd, DecStd, JanCount, FebCount, MarCount, AprCount, MayCount, JunCount, JulCount, AugCount, SepCount, OctCount, NovCount, DecCount
100110,NAPS,49.28,-122.97,4.2,5.5,3.2,4.1,5.6,4.3,5,7.7,6.2,4.2,4.5,4.5,3.2,2.8,1.8,2.6,2.9,1.5,2.2,4,5.6,2.2,3.4,2.9,31,28,31,30,31,30,31,31,30,31,30,31
100111,NAPS,49.28,-122.85,6.2,7.1,4.2,4.5,6.3,5.1,6.3,7.9,8.1,5.4,5.1,5.8,3.3,2.8,2.1,2.7,2.9,1.7,2.3,4.5,7.7,2.6,2.8,3.2,31,28,31,30,31,30,31,31,30,31,30,31
100118,NAPS,49.26,-123.16,6.9,7.2,4.7,4.5,5.7,4,4.9,10.4,6.9,5.4,5.8,8.1,3.4,3,2.1,2.2,2.7,1.6,2.4,4.5,4.6,2,4.6,4.5,31,28,31,30,31,30,31,31,25,31,30,31
100119,NAPS,49.22,-122.98,5,6.8,3.7,4.1,5.8,4.1,5.2,7.4,7.3,4.8,5.8,5.6,3.1,3.3,2.1,2.6,2.9,1.4,2.6,3.6,8.7,2.1,4.2,4.1,31,28,31,30,31,30,31,31,30,31,30,31
100134,NAPS,49.19,-123.16,6.6,8.8,4.9,4.5,5.3,4.1,4.7,6.9,6.5,5.5,5.1,9.5,3.9,4.5,2.6,2.3,2.7,1.8,2.5,3.5,7,2.4,3.7,7.4,31,28,31,30,31,30,31,31,30,31,30,31
100202,NAPS,53.91,-122.74,11.7,11.4,5.7,5.1,8.3,4.6,4.7,7.4,5,8.6,8.5,13.5,10.3,7.3,4.9,2.9,6.2,2.4,2.9,4.6,2.8,6.4,4.5,10.1,31,28,31,30,31,30,31,31,30,30,30,31
100205,NAPS,53.86,-122.76,-999.9,14.7,4.8,3.9,6.8,3.9,4,5.5,3,7.5,8,-999.9,-999.9,4.7,3.9,2.2,6.2,1.8,2.1,3.8,1.6,5.2,4.6,-999.9,0,11,31,30,31,30,31,31,30,31,30,0
100304,NAPS,48.44,-123.36,5.4,8.2,5.5,3.9,4.6,3.7,5.2,5.5,4.8,6.2,5,6.5,3.4,4.3,3.1,1.8,2.4,1.3,2.3,2.3,1.4,2.8,3.2,5,31,28,31,30,31,30,31,31,30,31,30,31
100307,NAPS,48.43,-123.47,4.5,6.5,3.9,2.6,4,2.6,3.5,3.6,3,4.5,5.2,6.3,2.4,3.4,1.8,1.3,2.4,1.2,1.5,1.7,0.9,1.9,3.2,3.4,31,28,31,30,31,30,31,31,30,31,30,25
100402,NAPS,50.7,-120.4,5.2,7.2,4.3,3.4,4,2.8,3.7,5.9,3.1,5.6,5.1,6.4,2.4,4,2.2,2.1,1.8,1.3,1.7,3.9,1.3,3.1,3,3.9,31,28,31,30,31,30,31,31,30,31,30,31
